19494	494715	2016-04-22	1	pendente		9398	Saiba quais os bens não podem ser penhorados para pagar dívidas
20523	315525	2017-07-12	1	pendente		11307	Cobranças de dívidas por telefone. Dicas do que fazer!
11343	292095	2017-05-05	1	pendente		7316	Fazer o devedor passar vergonha é crime
20998	161561	2015-11-14	1	pendente	Patricia Alves 	50762	Fiador e avalista: entenda as diferenças entre estas duas formas de garantia
36312	92839	2013-08-01	1	pendente	Ricardo Lima Camilo	15961	Procon Responde: TV por assinatura 
45724	65521	2016-10-18	1	pendente		2858	Saiba a diferença entre os prefixos 0300, 0500, 0800 e 0900 
32982	54703	2012-07-01	1	pendente		14471	STJ define em quais situações o dano moral pode ser presumido
20730	48624	2008-05-05	1	pendente		4793	TAC: Saiba mais sobre a proibição da cobrança desta taxa ilegal e como recuperar nos contratos já feitos
32466	40250	2012-04-30	1	pendente	CAROLINA MATOS e TONI SCIARRETTA	3699	Saiba como bancos decidem se clientes merecem crédito 
51968	35156	2019-09-20	1	pendente	Altieres Rohr	10857	O que fazer se receber mensagens de verificação do WhatsApp sem ter solicitado a ativação do número?
53696	33630	2020-10-09	1	pendente	Altieres Rohr	10649	WhatsApp e linha cancelada: o novo dono do número poderá ver suas mensagens?
34473	31078	2015-11-12	1	pendente		3496	Procon-SP lista 440 sites que devem ser evitados para compras na internet
49173	29774	2018-04-23	1	pendente	MARTHA IMENES	2896	INSS pode suspender auxílio-doença
46725	27881	2017-03-13	1	pendente	Martha Imenes	8665	Serviços do INSS agora podem ser feitos pela Internet
51559	27299	2019-07-15	1	pendente	 Larissa Esposito	7020	O que fazer caso a lista 'Não Perturbe' não funcione? Confira dicas
36746	25889	2013-09-19	1	pendente		9806	Direitos desconhecidos mas que são garantidos ao consumidor
50285	25237	2018-10-19	1	pendente	Altieres Rohr	130066	O que fazer se o WhatsApp foi invadido e a verificação de duas etapas foi ativada?
53633	25193	2020-09-29	1	pendente	Altieres Rohr	5825	É possível rastrear a localização de onde mensagens do WhatsApp foram enviadas mesmo se o celular não tiver chip?
51214	24764	2019-05-13	1	pendente	Ronaldo Prass	3680	Como remover o perfil do Facebook Dating?
11	23738	2015-11-13	1	pendente	Gilberto Braga	2675	Gilberto Braga: Comer fora pesa mais no bolso
51810	22437	2019-08-28	1	pendente	Eduardo Brandão	3535	Lei garante que consumidor possa escolher data do vencimento de suas contas
8	22086	2015-11-13	1	pendente		3410	Como desfrutar do ar condicionado em casa sem perder de vista o consumo racional 
33121	21812	2012-07-15	1	pendente		29951	Alienação fiduciária: o que o STJ tem decidido sobre o tema 
23579	20307	2012-08-15	1	pendente		21399	Tudo o que você queria saber sobre a comissão de permanência e tinha medo de perguntar
45500	19772	2016-09-20	1	pendente		4387	Matriculou e desistiu? Saiba seus direitos!
43459	19194	2015-11-13	1	pendente	Alexandre Versignassi, Maurício Horta	12763	O que os bancos fazem para te deixar no vermelho
15943	18285	2015-11-20	1	pendente		8322	É possível cancelar cartão de crédito e cheque especial mesmo com dívidas!
45241	17304	2016-08-17	1	pendente		2480	Dicas para ficar seguro ao fazer compras pelo telefone 
47199	16950	2017-05-11	1	pendente		5251	Procon orienta consumidor sobre novas regras de cancelamento de planos de saúde
45721	15591	2016-10-17	1	pendente	Guilherme de Souza	3161	A instituição de ensino pode incluir seu nome no SERASA?
47481	15199	2017-06-14	1	pendente	Júlia Lewgoy	8575	Como checar sua pontuação de crédito e o que ela diz sobre você 
38855	15122	2014-07-16	1	pendente		2045	Constrangimento por cobrança indevida gera indenização por danos morais
49837	14844	2018-08-07	1	pendente	Larissa Quintino 	4145	 Saiba quando vale quitar a dívida com INSS e aposentar 
43990	14771	2016-03-21	1	pendente	Maria Inês Dolci	1536	Mesmo sem lista troca de produto essencial deve ser imediata
36313	12794	2013-08-02	1	pendente		7195	Diferenças entre Pirâmide e Marketing Multinível: o que você precisa saber
23	12508	2015-11-13	1	pendente		172311	Juros do cartão de crédito atingem em outubro 368% ao ano, afirma Anefac
334	12230	2015-12-11	1	pendente	Gustavo Mause	4458	Franquia virtual é opção barata para trabalhar em casa
115	12189	2015-11-20	1	pendente		11892	8 percepções venenosas que você tem sobre dinheiro 
47213	12076	2017-05-12	1	pendente		4397	Justiça condena pastor e fiel que fizeram fofoca  
368	11439	2015-12-16	1	pendente		1556	Câmara aprova medida que aumenta tributação de bebidas e eletrônicos
47077	11182	2017-04-25	1	pendente		3451	Endividado pode antecipar restituição de Imposto de Renda
50092	10993	2018-09-18	1	pendente	MARTHA IMENES	8061	Como se prevenir para evitar o corte do benefício pelo INSS
30490	10849	2011-09-30	1	pendente		2628	Comissão aprova projeto que define limite para cobrança de dívida
48051	10841	2017-08-24	1	pendente	MARTHA IMENES	3453	Veja como conferir quem teve benefício cancelado
46723	10404	2017-03-13	1	pendente	Martha Imenes	5377	Revisão do INSS na Justiça garante aumento de até 40% no benefício
215	10370	2015-12-01	1	pendente		738562	Pesquisa mostra pegadinhas da Black Friday 
53832	10357	2020-11-06	1	pendente	MARINA CARDOSO	915	Supermercados e açougues no Rio não podem mais cobrar para moer carne ou fatiar frios
47496	10129	2017-06-16	1	pendente		1565	Luz e água não vão poder ser cortadas por falta de pagamento
53936	10116	2020-11-25	1	pendente	Altieres Rohr	14633	É preciso trocar o chip do celular se o aparelho for contaminado com vírus?
